iter	Passed	Remaining
0	46	4600
1	71	3524
2	99	3206
3	128	3083
4	152	2902
5	177	2776
6	203	2699
7	229	2642
8	253	2563
9	276	2491
10	302	2446
11	344	2523
12	368	2469
13	396	2437
14	423	2399
15	450	2366
16	477	2329
17	507	2311
18	538	2294
19	565	2260
20	590	2222
21	617	2190
22	647	2167
23	675	2137
24	708	2125
25	745	2122
26	771	2084
27	796	2046
28	828	2028
29	855	1996
30	880	1958
31	907	1928
32	942	1913
33	974	1891
34	1030	1913
35	1075	1911
36	1102	1877
37	1142	1863
38	1167	1825
39	1193	1789
40	1216	1750
41	1243	1717
42	1268	1681
43	1291	1643
44	1341	1639
45	1384	1625
46	1422	1604
47	1462	1584
48	1487	1547
49	1511	1511
50	1548	1487
51	1573	1452
52	1602	1421
53	1645	1402
54	1681	1375
55	1749	1374
56	1789	1349
57	1825	1321
58	1861	1293
59	1894	1262
60	1921	1228
61	1950	1195
62	1985	1165
63	2012	1132
64	2044	1100
65	2080	1072
66	2105	1037
67	2131	1002
68	2161	971
69	2185	936
70	2212	903
71	2243	872
72	2269	839
73	2295	806
74	2346	782
75	2370	748
76	2395	715
77	2419	682
78	2451	651
79	2476	619
80	2501	586
81	2526	554
82	2555	523
83	2598	494
84	2631	464
85	2680	436
86	2718	406
87	2750	375
88	2774	342
89	2801	311
90	2828	279
91	2859	248
92	2884	217
93	2908	185
94	2933	154
95	2966	123
96	2992	92
97	3017	61
98	3046	30
99	3070	0
