iter	RMSE
0	185.3314092
1	184.9631138
2	184.5971451
3	184.2304575
4	183.8684569
5	183.5064494
6	183.1608758
7	182.8131273
8	182.4958971
9	182.1776467
10	181.8472186
11	181.5125082
12	181.2021268
13	180.8771792
14	180.5728844
15	180.261526
16	179.9650287
17	179.6500003
18	179.3797272
19	179.0908013
20	178.8014675
21	178.5193824
22	178.2437748
23	177.9753034
24	177.6893018
25	177.4202142
26	177.1377046
27	176.8619109
28	176.589555
29	176.3238722
30	176.0726241
31	175.818859
32	175.5990171
33	175.3341183
34	175.0813009
35	174.83811
36	174.5997351
37	174.3534676
38	174.1071782
39	173.8770952
40	173.6399261
41	173.4248258
42	173.2051733
43	172.9818385
44	172.7618534
45	172.5364435
46	172.3272632
47	172.1176917
48	171.9149107
49	171.700306
50	171.4925774
51	171.296736
52	171.0936535
53	170.8869261
54	170.6945566
55	170.5032677
56	170.3096537
57	170.1086409
58	169.9159405
59	169.7333203
60	169.5546017
61	169.3752218
62	169.1845682
63	169.0100935
64	168.8388045
65	168.6663047
66	168.4861925
67	168.3080497
68	168.1353251
69	167.9706362
70	167.8107325
71	167.6369076
72	167.4754168
73	167.324231
74	167.1486632
75	167.0010744
76	166.8530558
77	166.7044674
78	166.550123
79	166.3814146
80	166.2235121
81	166.0627482
82	165.9134129
83	165.7702455
84	165.6251408
85	165.4865725
86	165.3324937
87	165.1932281
88	165.0536061
89	164.9018083
90	164.7922775
91	164.6716763
92	164.5506494
93	164.399505
94	164.2534266
95	164.1193401
96	163.9755676
97	163.8363436
98	163.7044329
99	163.5760111
